250,ปริมาณตัวทำละลายผงยา (ml),total volume,conc (mg/ml),conc. only ตัวเลข mg/ml,สารน้ำที่ใช้เจือจาง,administration conc.,administration conc. ต่ำสุด only ตัวเลข,administration rate,*หมายเหตุ,dose (from sanford guide),Minimum dose per Kg,Maximum dose per Kg,Divided per day (ครั้ง),ความถี่การให้ยา,อายุ,,,,,,,,,,,,,,
Ceftriaxone 1 g,SWI 9.5 ml,10 ml,100 mg/ml,100,NSS D5W D10W,10-40 mg/ml (or lower if necessary),10,"<1 g IV drip in 30 min, > 1 g  IV drip in 60 min","น้อยกว่า 1 g เจือจางในสารน้ำ 30-50 ml, มากกว่า 1 g เจือจางในสารน้ำ 60-100 ml","-50-100 mg/kg q 24 hr
-meningitis: 50 mg/kg q 12 hr",50,100,1,ทุก 8 ชั่วโมง,,,,,,,,,,,,,,,
Cloxacillin 1 g,"IV bolus SWI 9.6 ml, IV infusion SWI 3.4 ml","IV bolus 10 ml, IV infusion 4 ml","IV bolus 100 mg/ml, IV infusion 250 mg/ml",250,NSS D5W*,"IV push 50 or 10 mg/ml, IV infusion +solution to 100 ml",,"IV bolus over 2-4 min, IV drip over 30-40 min","ให้ add  NSS to 100 ml 
***ใน D5W โอกาสเกิด phlebitis มากกว่า ",-50-200 mg/kg/day divided q 6 hr,50,200,4,ทุก 6 ชั่วโมง,,,,,,,,,,,,,,,
Colistin 150 mg,SWI 2 ml,2 ml,75 mg/ml,75,"NSS, D5W, D5S, D10W, SWI",75 mg/ml,75,IV drip 30-60 min,,"-2.5-5 mg/kg/day divided q 6-12 hr
-CF: 3-8 mg/kg/day divided q 8 hr",2.5,5,2,ทุก 12 ชั่วโมง,,,,,,,,,,,,,,,
Hydrocortisone 100 mg,SWI 1.8 ml,2 ml,50 mg/ml,50,NSS D5W,"IV infusion 1 mg/ml, fluid-restricted pt. IV bolus up to 3000 mg + 50 ml and IV infusion 1,2,5 mg/ml",2,"IV bolus 30 sec. (100 mg) to 10 min (500 mg and more), ",,,,,,,,,,,,,,,,,,,,,
Meropenem 1 g,SWI 19 ml,20 ml,50 mg/ml,50,NSS D5W D10W,1-20 mg/ml,10,IV drip over 30 min,,"-60 mg/kg/day divided q 8 hr
-Meninigitis 120 mg/kg/day divided q 8 hr",60,,3,ทุก 8 ชั่วโมง,,,,,,,,,,,,,,,
Omeprazole 40 mg,SWI 10 ml,-,4 mg/ml,4,NSS,direct IV or dilute 50-100 ml  iv infusion,-,direct IV 40 mg over 5 min  or IV drip 20-30 min,infusion เจือจางในสารน้ำ 50-100 ml,,,,,,,,,,,,,,,,,,,,
Penicillin G Sodium 5 MU,SWI 8 ml,10 ml,"500,000 unit/ml",500000,NSS D5W,"50,000-100,000 unit/ml (in neonate 25,000 unit/ml has been used)",50000,IV drip : add solution up to 30 ml drip over 15-30 min,,"-100,000 - 300,000 unit/kg/day divided q 4-6 hr
-CNS 300,000 - 400,000 unit/kg/day divied q 4 hr
-meningitis
<= 7 day: 450,000 unit/kg/day divied q 8 hr
>7 day: 500,000 unit/kg/day divied q 6 hr",100000,300000,4,ทุก 6 ชั่วโมง,,,,,,,,,,,,,,,
Piperacillin+tazobactam 4.5 g,SWI 20 ML,-,180 mg/mL,180,NSS D5W,20-80 mg/ml of piperacillin ,20,IV drip over 30 min,,400 mg/kg/day divided q 6 hr,400,,4,ทุก 6 ชั่วโมง,,,,"piperacillin 180 mg/ml, tazobactam 22.5 mg/ml (after recon. conc.= 202.5 mg/mL)",,,,,,,,,,,
Vancomycin 500 mg,SWI 10 ml,-,50 mg/ml,50,NSS D5W,5 mg/ml,5,max rate 10 mg/min,,60-80  mg/kg/day divided q 6 hr,60,80,4,ทุก 6 ชั่วโมง,,,,,,,,,,,,,,,
Acyclovir 250 mg,SWI 10 ML,-,25 mg/ml,25,NSS,<5,4,IV drip conc <5 mg/ml drip over 1 hr,IV drip conc <5 mg/ml,"-60 mg/kg/day divided q 8 hr
-HSV encephalitis >3 MO 30-45 mg/kg/day divided q 8 hr",60,,3,ทุก 8 ชั่วโมง,,,,,,,,,,,,,,,
Amikacin sulfate  500 mg/2 ml,0,-,250 MG/ml,250,D5W NSS,2.5- 10 mg/ml,5,IV drip in 30 min,,"-15-20 mg/kg/day once daily
-5-7.5 mg/kg q 8 hr",15,20,1,ทุก 24 ชั่วโมง,,,,,,,,,,,,,,,
